seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k77_12	0.987	0.260	0.365	1.000	0.267	1.000	ssDNA	2898	1	60.000	0.000
k77_25	0.993	0.253	0.185	0.913	0.280	0.993	dsDNAphage	5029	4	62.500	0.000
k77_26	1.000	0.473	0.120	0.980	0.947	1.000	dsDNAphage	6399	2	100.000	0.000
